,city,country,date,lat,lon,temp,hum,clouds,wind
333,qaqortoq,GL,1586129119,60.72,-46.03,26.6,32,55,5.82
334,tonantins,BR,1586129119,-2.87,-67.8,77.32,91,94,1.52
335,north bend,US,1586129119,43.41,-124.22,49.96,87,90,17.22
336,jhunjhunun,IN,1586129054,28.13,75.4,74.3,30,38,7.94
337,boddam,GB,1586129119,57.47,-1.78,49.78,71,90,26.4
338,egvekinot,RU,1586129119,66.32,-179.17,4.6,83,100,5.82
339,verkhnyaya inta,RU,1586129119,65.98,60.31,16.52,96,90,6.71
340,plouzane,FR,1586129119,48.38,-4.62,55.4,93,90,18.34
341,brokopondo,SR,1586129120,4.75,-55.17,78.01,83,96,6.08
342,comodoro rivadavia,AR,1586129120,-45.87,-67.5,53.6,37,40,9.17
343,quelimane,MZ,1586129120,-17.88,36.89,75.2,88,0,2.66
344,sedalia,US,1586129120,38.7,-93.23,54.36,66,90,5.82
345,ukiah,US,1586128877,39.15,-123.21,50.94,54,40,9.17
346,drayton valley,CA,1586128825,53.22,-114.99,22.84,88,100,8.41
347,eydhafushi,MV,1586129120,5.1,73.07,84.16,67,7,6.42
348,fleury-les-aubrais,FR,1586129120,47.93,1.92,51.22,58,0,5.82
349,manavalakurichi,IN,1586129120,8.13,77.3,78.8,83,20,3.36
350,nishihara,JP,1586129120,26.18,127.76,65.25,68,75,5.82
351,general pico,AR,1586129120,-35.66,-63.76,67.3,23,14,13.06
352,puerto narino,CO,1586129120,-3.77,-70.38,78.8,94,75,2.24
353,baoying,CN,1586128878,33.23,119.31,46.67,63,96,5.59
354,lucapa,AO,1586129120,-8.42,20.74,67.12,73,67,1.12
355,hamilton,US,1586129120,39.18,-84.53,53.24,71,90,8.05
356,mitsamiouli,KM,1586129078,-11.38,43.28,83.26,66,63,4.18
357,la ronge,CA,1586129120,55.1,-105.28,28.4,39,75,12.75
358,honningsvag,NO,1586129120,70.98,25.97,30.2,63,75,12.75
359,lindi,TZ,1586129120,-10.0,39.72,77.0,94,20,4.21
360,alexandria,EG,1586129120,31.22,29.96,60.53,77,93,3.36
361,akyab,MM,1586129120,20.15,92.9,75.72,92,38,3.51
362,marsh harbour,BS,1586129121,26.54,-77.06,70.21,79,82,21.0
